,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
55,55,periodic/3/52.5/90,40.5,358.68,95.95,25405.63
58,58,periodic/3/60/90,40.32,364.18,95.968,25442.182000000008
49,49,periodic/3/40/90,40.28,365.44,95.972,25406.982000000004
52,52,periodic/3/50/90,39.76,357.42,96.024,25407.988
4,4,continuous/2/50/90,23.48,185.96,97.652,25937.126000000004
28,28,continuous/4/50/90,23.38,184.82,97.662,25968.045999999995
16,16,continuous/3/50/90,23.34,190.3,97.66600000000004,26025.745999999992
31,31,continuous/4/52.5/90,23.24,186.16,97.676,26830.68400000001
22,22,continuous/3/60/90,22.58,194.26,97.742,30197.748
34,34,continuous/4/60/90,22.26,184.78,97.774,30120.907999999992
10,10,continuous/2/60/90,21.82,177.7,97.818,30145.2
19,19,continuous/3/52.5/90,21.56,171.64,97.84399999999998,26822.834
7,7,continuous/2/52.5/90,21.24,177.12,97.87600000000002,26801.528
39,39,periodic/2/50/80,20.92,170.08,97.908,34047.53999999999
36,36,periodic/2/40/80,20.88,169.72,97.912,34049.44
45,45,periodic/2/60/80,20.34,163.38,97.96599999999998,34081.340000000004
42,42,periodic/2/52.5/80,20.2,160.78,97.98,34033.41000000001
29,29,continuous/4/50/100,17.6,144.04,98.24,24204.252
17,17,continuous/3/50/100,17.56,133.82,98.244,24146.728
5,5,continuous/2/50/100,17.04,134.16,98.296,24147.880000000005
56,56,periodic/3/52.5/100,16.28,127.34,98.372,26782.104000000003
50,50,periodic/3/40/100,15.76,127.6,98.424,26785.322
53,53,periodic/3/50/100,15.74,128.52,98.426,26809.084000000003
59,59,periodic/3/60/100,15.4,121.5,98.46,26809.728000000003
32,32,continuous/4/52.5/100,14.8,116.5,98.52,24768.092
20,20,continuous/3/52.5/100,14.2,111.44,98.58000000000004,24863.113999999998
8,8,continuous/2/52.5/100,14.12,109.46,98.588,24759.598000000013
11,11,continuous/2/60/100,8.14,55.34,99.186,27795.89
23,23,continuous/3/60/100,8.02,59.24,99.198,27784.754000000004
35,35,continuous/4/60/100,7.8,58.5,99.22,27727.012
43,43,periodic/2/52.5/90,7.04,49.88,99.296,35780.221999999994
40,40,periodic/2/50/90,7.04,51.18,99.296,35745.312000000005
37,37,periodic/2/40/90,7.02,51.82,99.298,35759.93999999999
46,46,periodic/2/60/90,6.62,52.8,99.338,35723.25600000001
