,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
40,40,periodic/3/50/90,41.6,376.48,95.84000000000002,25399.245999999992
37,37,periodic/3/40/90,39.86,360.08,96.014,25427.032
43,43,periodic/3/60/90,38.7,340.14,96.13,25368.884
13,13,continuous/3/50/90,23.98,192.9,97.602,26059.54
22,22,continuous/4/50/90,22.7,184.1,97.73,25972.214000000004
25,25,continuous/4/60/90,22.6,186.76,97.74,30119.902
7,7,continuous/2/60/90,22.26,189.36,97.774,30197.392000000003
16,16,continuous/3/60/90,22.22,194.46,97.778,30152.506000000005
4,4,continuous/2/50/90,21.34,169.8,97.86600000000004,26016.432
27,27,periodic/2/40/80,20.94,173.22,97.906,34058.795999999995
33,33,periodic/2/60/80,20.84,171.4,97.916,34088.86800000001
30,30,periodic/2/50/80,20.56,165.82,97.94400000000002,34042.03
23,23,continuous/4/50/100,17.78,134.04,98.222,24142.184000000005
14,14,continuous/3/50/100,17.6,143.86,98.24,24193.276
5,5,continuous/2/50/100,17.32,137.72,98.268,24149.036
44,44,periodic/3/60/100,15.12,122.58,98.488,26791.323999999997
38,38,periodic/3/40/100,15.08,124.2,98.492,26744.714000000004
41,41,periodic/3/50/100,14.76,121.0,98.524,26814.27599999999
17,17,continuous/3/60/100,8.68,61.2,99.132,27734.572
8,8,continuous/2/60/100,8.32,56.38,99.168,27778.17
26,26,continuous/4/60/100,8.18,57.54,99.182,27754.534000000003
34,34,periodic/2/60/90,6.88,51.7,99.31200000000004,35785.10999999999
28,28,periodic/2/40/90,6.46,50.94,99.354,35811.264
31,31,periodic/2/50/90,6.38,50.46,99.362,35758.68399999999
29,29,periodic/2/40/100,1.76,11.42,99.82399999999998,37649.018
