,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
0,0,continuous/2/40/80,62.7,556.38,93.73,24563.736
0,1,continuous/2/40/90,51.3,449.04,94.87,22680.170000000006
0,2,continuous/2/40/100,44.66,388.28,95.53399999999999,21523.066000000003
0,3,continuous/2/50/80,47.6,423.4,95.24,28750.558000000005
0,4,continuous/2/50/90,23.48,185.96,97.65199999999999,25937.126000000004
0,5,continuous/2/50/100,17.04,134.16,98.296,24147.880000000005
0,6,continuous/2/52.5/80,55.06,509.52,94.494,29803.78999999999
0,7,continuous/2/52.5/90,21.24,177.12,97.87600000000002,26801.528
0,8,continuous/2/52.5/100,14.12,109.46,98.58800000000001,24759.598000000013
0,9,continuous/2/60/80,90.74,899.58,90.926,32546.264
0,10,continuous/2/60/90,21.82,177.7,97.818,30145.2
0,11,continuous/2/60/100,8.14,55.34,99.186,27795.89
0,12,continuous/3/40/80,60.5,527.26,93.95,24547.312
0,13,continuous/3/40/90,50.14,450.16,94.98599999999999,22679.534
0,14,continuous/3/40/100,44.12,389.2,95.588,21543.724000000002
0,15,continuous/3/50/80,49.18,437.2,95.082,28749.147999999997
0,16,continuous/3/50/90,23.34,190.3,97.66600000000003,26025.745999999992
0,17,continuous/3/50/100,17.56,133.82,98.244,24146.728
0,18,continuous/3/52.5/80,55.44,519.6,94.456,29829.56
0,19,continuous/3/52.5/90,21.56,171.64,97.84399999999998,26822.834
0,20,continuous/3/52.5/100,14.2,111.44,98.58000000000004,24863.113999999994
0,21,continuous/3/60/80,89.34,893.04,91.066,32637.92199999999
0,22,continuous/3/60/90,22.58,194.26,97.742,30197.748
0,23,continuous/3/60/100,8.02,59.24,99.19800000000001,27784.754000000004
0,24,continuous/4/40/80,59.72,522.92,94.028,24495.136000000006
0,25,continuous/4/40/90,49.8,445.88,95.02000000000002,22614.806
0,26,continuous/4/40/100,44.68,396.26,95.53199999999998,21535.772000000008
0,27,continuous/4/50/80,46.22,409.86,95.37799999999999,28688.894000000004
0,28,continuous/4/50/90,23.38,184.82,97.662,25968.045999999995
0,29,continuous/4/50/100,17.6,144.04,98.24,24204.251999999997
0,30,continuous/4/52.5/80,56.34,523.6,94.36599999999999,29748.938000000002
0,31,continuous/4/52.5/90,23.24,186.16,97.67599999999999,26830.68400000001
0,32,continuous/4/52.5/100,14.8,116.5,98.52,24768.091999999997
0,33,continuous/4/60/80,89.9,875.32,91.01000000000002,32574.624
0,34,continuous/4/60/90,22.26,184.78,97.774,30120.907999999992
0,35,continuous/4/60/100,7.8,58.5,99.22000000000001,27727.012
0,36,periodic/2/40/80,20.88,169.72,97.912,34049.44
0,37,periodic/2/40/90,7.02,51.82,99.29799999999999,35759.93999999999
0,38,periodic/2/40/100,1.88,11.54,99.81200000000001,37659.477999999996
0,39,periodic/2/50/80,20.92,170.08,97.90799999999999,34047.53999999999
0,40,periodic/2/50/90,7.04,51.18,99.29599999999999,35745.312000000005
0,41,periodic/2/50/100,2.02,12.74,99.79799999999999,37661.37599999999
0,42,periodic/2/52.5/80,20.2,160.78,97.98,34033.41000000001
0,43,periodic/2/52.5/90,7.04,49.88,99.296,35780.221999999994
0,44,periodic/2/52.5/100,1.68,10.58,99.83200000000001,37664.638
0,45,periodic/2/60/80,20.34,163.38,97.96599999999998,34081.340000000004
0,46,periodic/2/60/90,6.62,52.8,99.33800000000001,35723.25600000001
0,47,periodic/2/60/100,2.3,18.28,99.77,37690.866
0,48,periodic/3/40/80,84.28,843.34,91.572,24728.76200000001
0,49,periodic/3/40/90,40.28,365.44,95.972,25406.982000000004
0,50,periodic/3/40/100,15.76,127.6,98.42399999999999,26785.322
0,51,periodic/3/50/80,82.86,840.96,91.714,24725.609999999997
0,52,periodic/3/50/90,39.76,357.42,96.024,25407.987999999998
0,53,periodic/3/50/100,15.74,128.52,98.426,26809.084000000003
0,54,periodic/3/52.5/80,83.32,838.0,91.668,24720.354
0,55,periodic/3/52.5/90,40.5,358.68,95.95,25405.63
0,56,periodic/3/52.5/100,16.28,127.34,98.37200000000001,26782.104000000003
0,57,periodic/3/60/80,82.48,835.42,91.75200000000001,24724.709999999995
0,58,periodic/3/60/90,40.32,364.18,95.96799999999999,25442.182000000008
0,59,periodic/3/60/100,15.4,121.5,98.46,26809.728000000003
0,60,periodic/4/40/80,166.8,2009.92,83.31999999999998,22227.806
0,61,periodic/4/40/90,106.86,1189.08,89.31400000000002,21925.716
0,62,periodic/4/40/100,59.68,610.46,94.03200000000001,22294.162
0,63,periodic/4/50/80,163.62,1962.76,83.638,22148.640000000003
0,64,periodic/4/50/90,104.94,1174.38,89.506,21936.708
0,65,periodic/4/50/100,59.12,601.52,94.08800000000001,22311.487999999998
0,66,periodic/4/52.5/80,166.82,1999.72,83.318,22208.04
0,67,periodic/4/52.5/90,106.48,1192.22,89.352,21946.995999999996
0,68,periodic/4/52.5/100,62.34,627.96,93.766,22319.09599999999
0,69,periodic/4/60/80,162.16,1962.46,83.78399999999999,22160.524000000005
0,70,periodic/4/60/90,105.1,1188.16,89.49,21948.742
0,71,periodic/4/60/100,60.28,615.0,93.972,22318.67
