,experimentScenarioNo,parameters,nmrOfStockOuts,lostSales,serviceLevel,totalInventoryCosts
0,0,continuous/2/40/80,61.58,535.28,93.84199999999998,24570.076
0,1,continuous/2/40/90,50.54,431.94,94.94599999999998,22604.402
0,2,continuous/2/40/100,43.14,383.12,95.686,21515.138000000003
0,3,continuous/2/50/80,47.36,418.56,95.26400000000001,28764.832000000006
0,4,continuous/2/50/90,21.34,169.8,97.86600000000003,26016.432
0,5,continuous/2/50/100,17.32,137.72,98.26799999999999,24149.035999999996
0,6,continuous/2/60/80,88.52,863.34,91.14800000000001,32528.852000000003
0,7,continuous/2/60/90,22.26,189.36,97.774,30197.392000000003
0,8,continuous/2/60/100,8.32,56.38,99.16799999999999,27778.17
0,9,continuous/3/40/80,59.16,516.3,94.084,24492.586
0,10,continuous/3/40/90,50.2,439.18,94.98,22673.888
0,11,continuous/3/40/100,43.92,391.22,95.608,21523.956000000006
0,12,continuous/3/50/80,49.18,440.34,95.082,28749.41800000001
0,13,continuous/3/50/90,23.98,192.9,97.60199999999999,26059.54
0,14,continuous/3/50/100,17.6,143.86,98.24,24193.275999999998
0,15,continuous/3/60/80,90.28,899.22,90.97200000000001,32549.695999999996
0,16,continuous/3/60/90,22.22,194.46,97.778,30152.506000000005
0,17,continuous/3/60/100,8.68,61.2,99.132,27734.572
0,18,continuous/4/40/80,60.68,529.06,93.93199999999999,24551.100000000006
0,19,continuous/4/40/90,50.84,452.24,94.916,22610.802000000003
0,20,continuous/4/40/100,42.44,379.56,95.75599999999999,21530.891999999996
0,21,continuous/4/50/80,50.46,452.34,94.954,28769.984000000008
0,22,continuous/4/50/90,22.7,184.1,97.73,25972.214000000004
0,23,continuous/4/50/100,17.78,134.04,98.22200000000001,24142.184000000005
0,24,continuous/4/60/80,87.64,875.8,91.236,32696.172000000002
0,25,continuous/4/60/90,22.6,186.76,97.74,30119.902
0,26,continuous/4/60/100,8.18,57.54,99.182,27754.534000000003
0,27,periodic/2/40/80,20.94,173.22,97.906,34058.795999999995
0,28,periodic/2/40/90,6.46,50.94,99.354,35811.264
0,29,periodic/2/40/100,1.76,11.42,99.82399999999998,37649.018
0,30,periodic/2/50/80,20.56,165.82,97.94400000000002,34042.03
0,31,periodic/2/50/90,6.38,50.46,99.362,35758.68399999999
0,32,periodic/2/50/100,2.2,15.08,99.78,37680.844
0,33,periodic/2/60/80,20.84,171.4,97.916,34088.86800000001
0,34,periodic/2/60/90,6.88,51.7,99.31200000000003,35785.10999999999
0,35,periodic/2/60/100,2.22,16.06,99.77799999999998,37677.272000000004
0,36,periodic/3/40/80,83.16,840.0,91.684,24728.634
0,37,periodic/3/40/90,39.86,360.08,96.01400000000001,25427.031999999996
0,38,periodic/3/40/100,15.08,124.2,98.492,26744.714000000004
0,39,periodic/3/50/80,81.28,811.22,91.87200000000001,24697.222000000005
0,40,periodic/3/50/90,41.6,376.48,95.84000000000002,25399.245999999992
0,41,periodic/3/50/100,14.76,121.0,98.524,26814.27599999999
0,42,periodic/3/60/80,82.8,828.42,91.72,24683.128000000008
0,43,periodic/3/60/90,38.7,340.14,96.13,25368.884
0,44,periodic/3/60/100,15.12,122.58,98.48800000000001,26791.323999999993
0,45,periodic/4/40/80,166.42,1995.24,83.35799999999999,22207.357999999997
0,46,periodic/4/40/90,105.96,1191.82,89.404,21954.658000000003
0,47,periodic/4/40/100,59.78,627.68,94.022,22336.197999999997
0,48,periodic/4/50/80,165.94,2022.46,83.406,22258.766
0,49,periodic/4/50/90,104.68,1155.1,89.53199999999998,21898.293999999998
0,50,periodic/4/50/100,58.96,607.12,94.10400000000001,22340.838
0,51,periodic/4/60/80,167.66,2043.38,83.234,22293.330000000005
0,52,periodic/4/60/90,102.36,1150.8,89.764,21908.764
0,53,periodic/4/60/100,58.78,608.9,94.12200000000001,22321.396
